nsq,new_peak,power,duration
0.03,0.20376399042893034,0.49133907018000966,0.14810339914828655
0.04,0.19295374166607981,0.4805288214171591,0.1673102398390206
0.05,0.18330605458277605,0.47088113433385514,0.18325545511126143
0.06,0.17587635460864126,0.46345143435972047,0.1977793713128296
0.07,0.1696911478349945,0.4572662275860737,0.21114758944723225
0.08,0.1638052252600728,0.45138030501115195,0.22313736870099662
0.09,0.1581973777674308,0.4457724575185101,0.23398925080249122
0.1,0.15284835400521835,0.44042343375629756,0.24388092519752877
0.11,0.1477406395856622,0.43531571933674146,0.2529484115493989
0.12,0.14285826550814518,0.43043334525922444,0.26129879749680057
0.13,0.1381866413908095,0.4257617211418887,0.26901832719276236
0.14,0.1340023769612806,0.4215774567123598,0.27658631283433915
0.15,0.13040660655981529,0.41798168631089455,0.28431451986739026
0.16,0.12691979889778793,0.4144948786488672,0.29162241845857145
0.17,0.12353707504656786,0.41111215479764707,0.2985474466940437
0.18,0.12025384307332443,0.4078289228244037,0.3051218704539486
0.19,0.1170657772442334,0.4046408569953125,0.31137375092689207
0.2,0.11396879901025869,0.401543878761338,0.3173276886788473
0.21,0.11110268617160513,0.3986777659226843,0.32330699050595996
0.22,0.10835856301824665,0.3959336427693258,0.3291452293704065
0.23,0.1056805633143667,0.3932556430654459,0.3347521266740349
0.24,0.10306632550819783,0.3906414052592771,0.3401422213768773
0.25,0.10051359917982161,0.38808867893090093,0.34532863109780054
0.26,0.09802023858001219,0.38559531833109145,0.3503232432481587
0.27,0.09558419661468087,0.3831592763657602,0.3551368739139891
0.28,0.09320351923947068,0.38077859899054983,0.3597794009394136
0.29,0.09087849134079251,0.37845357109187183,0.3642664279995969
0.3,0.08871514697243388,0.3762902267235131,0.3689499201741864
0.31,0.08659404363776724,0.37416912338884656,0.37349244860496106
0.32,0.08451395611343937,0.37208903586451864,0.37790064276269714
0.33,0.08247370610667737,0.37004878585775663,0.38218064593494533
0.34,0.08047216002958302,0.3680472397806623,0.3863381647375253
0.35,0.07850822689890369,0.3660833066499829,0.39037851223526104
0.36,0.07658085635310408,0.36415593610418334,0.39430664565904566
0.37,0.07468903677916394,0.36226411653024304,0.3981271995304541
0.38,0.07283179354208391,0.3604068732931631,0.4018445148644723
0.39,0.07100818731059166,0.3585832670616708,0.4054626650077604
0.4,0.06921731247299778,0.35679239222407705,0.4089854785782343
0.41,0.0675012871202989,0.355076366871378,0.4126294290028474
0.42,0.0658331127161067,0.35340819246718597,0.41628851026994895
0.43,0.06419108209401769,0.35176616184509696,0.4198653201310602
0.44,0.0625745854409323,0.3501496651920115,0.42336268081617834
0.45,0.06098303176290942,0.3485581115139887,0.4267832640440661
0.46,0.059415848164761975,0.3469909279158413,0.4301296022467192
0.47,0.057872479162495605,0.34544755891357476,0.4334040987234686
0.48,0.05635238602685222,0.34392746577793143,0.4366090368478792
0.49,0.05485504615633663,0.3424301259074159,0.4397465884341009
0.5,0.05337995247818306,0.3409550322292623,0.44281882135540346
0.51,0.05192661287582778,0.33950169262690694,0.44582770649567793
0.52,0.05049454964152478,0.3380696293926041,0.44877512410455944
0.53,0.049083298952829146,0.3366583787039083,0.45166286961809954
0.54,0.04769241037173977,0.33526749012281903,0.45449265899940433
0.55,0.04632280217836349,0.33389788192944264,0.45727766085986615
0.56,0.045003064224563794,0.33257814397564295,0.4602774654303447
0.57,0.043700138219220364,0.3312752179702996,0.4632258960979336
0.58,0.04241370494812169,0.32998878469920084,0.4661242881451146
0.59,0.04114345322760293,0.32871853297868214,0.4689739228004175
0.6,0.039889079653590676,0.32746415940466983,0.4717760303135458
0.61,0.03865028836000084,0.32622536811108,0.47453179280556973
0.62,0.03742679078608502,0.3250018705371642,0.47724234691415074
0.63,0.03621830545234017,0.32379338520341927,0.4799087862516816
0.64,0.035024557744616214,0.3225996374956955,0.4825321636924022
0.65,0.03384527970607687,0.32142035945715614,0.48511349350292926
